image_name,date,street,block,parcel,text_en,text_es,ad_product,ad_company,business_name,establishment_kind,open_space_kind,street_art,notes,notes2
street_views_000398,2019-04-01,"W Slauson Ave, South",1700,19476,"cash express, little caesara, wing stop, 7 star donuts, 7 eleven, metro pcs, get lucky, lucky lady casino, checks cashed, loans, pay bills, pay day loans, debit cards, boneless wings, donuts and sandwich",,lucky lady casino,,"7 eleven, metropcs, 7 star donuts and sandiwch, wing stop, little caesars, gateway tax service, ce cash express","financial services, convenience store, fast food, donut shop, cellular service",parking lot,,,
street_views_000399,2019-04-01,"W Slauson Ave, North",1700,18520,"florist artist, open 6 days, sat, san diego sports arena, frankie beverly, marcus wildstyle",,frankie beverly,,"florist artist, petes cabinets","furniture, florist",,handpainted signs,,
street_views_000400,2019-04-01,"W Slauson Ave, North",1700,18520,"maryjane, entre rios, iron works, wrought iron, security windows, gates, doors, garage doors, kitchen and home remodeling, cement, works, stucco, roof home improvement, general contractor, construction, gilgos electronics, repair, stay positive, ",,100.3,,"maryjane, gilgos electronics, entre rios inc. ","home improvement, electronics store, convenience store",,handpainted signs,,
street_views_000400,2019-04-01,"W Slauson Ave, South",1700,19476,"veea, venue and events, veeavenue",,,,veea venue and events,venue,,,,
street_views_000402,2019-04-01,"W Slauson Ave, North",1700,18520,"zepeda auto body shop, service parts, ",,,,zepeda auto body shop,automotive service,parking lot,handpainted signs,,
street_views_000403,2019-04-01,"W Slauson Ave, South",1700,19476,"express sign co., for sale, ",,(bus) door dash,,express sign co.,neon sign shop,,,,
street_views_000404,2019-04-01,"W Slauson Ave, North",1700,9273,"alans garage, alans, pandas custom auto body shop, isais granite, custom kitchen, counter tops, bathrooms, fire place, cabinets, for rent",,,,alans garage,automotive service,parking lot,handpainted sign,,
street_views_000405,2019-04-01,"W Slauson Ave, South",1700,19476,"sound tires alarm, car alarm, stereos, free money for downpayment to buy a house, ",,,,sound tires alarm,automotive service,parking lot,handpainted sign,,
street_views_000406,2019-04-01,"W Slauson Ave, North",1700,9451,extra space storage,,,,extra space storage,storage,parking lot,,,
street_views_000407,2019-04-01,"W Slauson Ave, South",1700,19476,"slauson super mall, self storage, gilbralter, uhaul",,,,slauson super small self storage,storage,parking lot,handpainted sign,,
